dates,tripduration
2019-03-10,775.8887654124993
2019-03-11,906.4313624482476
2019-03-12,766.8840638040969
2019-03-13,731.4354150039904
2019-03-14,785.9131486444159
2019-03-15,986.7834139046361
2019-03-16,1011.838459347857
2019-03-17,934.3065120573539
2019-03-18,841.2143686065504
2019-03-19,835.3465204507277
2019-03-20,887.7363982737139
2019-03-21,763.5524531500141
2019-03-22,892.5178072921072
2019-03-23,1009.6788762541806
2019-03-24,1112.4445062808077
2019-03-25,846.2677031299695
2019-03-26,780.9519615981521
2019-03-27,825.7093238852275
2019-03-28,823.7990910488818
2019-03-29,955.7210953175847
2019-03-30,1316.5987519126338
2019-03-31,923.387461082962
2019-04-01,885.8467825105563
2019-04-02,778.4470643105146
2019-04-03,980.3807336072213
2019-04-04,914.6102174829809
2019-04-05,808.073072346847
2019-04-06,1352.1974176674833
2019-04-07,1432.7495711570261
2019-04-08,1222.1554751773049
2019-04-09,964.3459976064861
2019-04-10,1056.2679600433944
2019-04-11,922.9654244240074
2019-04-12,1015.9725162936653
2019-04-13,1516.8854557153247
2019-04-14,1528.2230887634685
2019-04-15,1101.7469006001666
2019-04-16,1067.0105660496556
2019-04-17,1054.0477022594193
2019-04-18,974.3323694257168
2019-04-19,1086.8171653858592
2019-04-20,1095.4482383645063
2019-04-21,1233.7144895401523
2019-04-22,918.7019429141445
2019-04-23,1014.52087917915
2019-04-24,1056.2029901058888
2019-04-25,901.3235395669259
2019-04-26,823.2319816785666
2019-04-27,1112.7903391572456
2019-04-28,937.6906553398059
2019-04-29,833.6179736465479
2019-04-30,825.6657835939993
2020-02-01,875.7668955039109
2020-02-02,812.1366768090091
2020-02-03,936.3379544860057
2020-02-04,755.1493387705324
2020-02-05,680.9933523266857
2020-02-06,678.7555044159722
2020-02-07,726.8515455074595
2020-02-08,821.9266083030839
2020-02-09,884.8200091925846
2020-02-10,682.1902962741284
2020-02-11,702.7086453729921
2020-02-12,699.7546213718177
2020-02-13,711.7891107369096
2020-02-14,699.9667939654939
2020-02-15,797.489721270488
2020-02-16,854.2210368089162
2020-02-17,902.9727690128462
2020-02-18,771.0986305097043
2020-02-19,795.9443351651694
2020-02-20,741.7022208686689
2020-02-21,750.825052990746
2020-02-22,914.2398397687803
2020-02-23,1037.4859702646959
2020-02-24,870.4045502138458
2020-02-25,819.7090830974524
2020-02-26,815.9243701196717
2020-02-27,692.3275897813918
2020-02-28,701.4215867158672
2020-02-29,753.9980856009845
2020-03-01,864.1210552732292
2020-03-02,982.5365433919853
2020-03-03,851.5264766808117
2020-03-04,851.5432929947162
2020-03-05,843.8989878335549
2020-03-06,759.5390654753186
2020-03-07,958.286934698844
2020-03-08,1096.0663701749158
2020-03-09,1208.189128664495
2020-03-10,943.7808236227578
2020-03-11,995.3441342047366
2020-03-12,1004.5460921062885
2020-03-13,1461.8177329672612
2020-03-14,1366.1812653993084
2020-03-15,1456.878361925844
2020-03-16,1088.33811607476
2020-03-17,1413.3176605975916
2020-03-18,1409.933991343127
2020-03-19,1381.9743786584781
2020-03-20,1719.9533948351263
2020-03-21,1643.4146379919273
2020-03-22,1430.0747574279826
2020-03-23,1016.805201300325
2020-03-24,1423.4540574222308
2020-03-25,1233.0682081882976
2020-03-26,1584.6684397163122
2020-03-27,1684.5492378508904
2020-03-28,1506.8262879044075
2020-03-29,1496.2202985693552
2020-03-30,1196.6950335748952
2020-03-31,1319.4728594291812
2020-04-01,1521.8885233020674
2020-04-02,1902.022880286135
2020-04-03,1240.3192147846848
2020-04-04,1948.5496587799216
2020-04-05,1981.3920015530964
2020-04-06,1943.1819545823196
2020-04-07,1592.7815698215343
2020-04-08,1654.107597377555
2020-04-09,1548.0004227733934
2020-04-10,1247.544544114033
2020-04-11,1726.0334318991008
2020-04-12,1865.1896464326448
2020-04-13,1220.312427856868
2020-04-14,1634.7355139817269
2020-04-15,1429.440823868758
2020-04-16,1244.8881451200818
2020-04-17,1426.4526544222729
2020-04-18,1643.3674020994406
2020-04-19,1929.991285680886
2020-04-20,1418.5361941321635
2020-04-21,1329.5130791788856
2020-04-22,1453.7242147752597
2020-04-23,1296.0871111111112
2020-04-24,1456.026090404441
2020-04-25,1915.9817141498863
2020-04-26,1304.8144168579179
2020-04-27,1295.996740657488
2020-04-28,1509.5658648628184
2020-04-29,1211.3255899875305
2020-04-30,1230.7409572273416
